product_id,product_name,product_family,unit_cost_mxn
P001,Part_P001,Interior,158.69
P002,Part_P002,Fasteners,47.47
P003,Part_P003,Trim,172.04
P004,Part_P004,Fasteners,24.06
P005,Part_P005,Electrical,369.68
P006,Part_P006,Trim,188.76
P007,Part_P007,Interior,149.75
P008,Part_P008,Interior,131.9
P009,Part_P009,Electrical,324.75
P010,Part_P010,Fasteners,16.29
P011,Part_P011,Fasteners,19.0
P012,Part_P012,Trim,61.18
P013,Part_P013,Fasteners,45.41
P014,Part_P014,Trim,166.38
P015,Part_P015,Fasteners,41.73
P016,Part_P016,Electrical,354.22
P017,Part_P017,Fasteners,30.65
P018,Part_P018,Electrical,290.62
P019,Part_P019,Trim,82.37
P020,Part_P020,Fasteners,15.15
P021,Part_P021,Interior,200.31
P022,Part_P022,Fasteners,31.2
P023,Part_P023,Trim,150.44
P024,Part_P024,Trim,182.4
P025,Part_P025,Interior,194.25
P026,Part_P026,Electrical,286.07
P027,Part_P027,Fasteners,35.16
P028,Part_P028,Electrical,211.19
P029,Part_P029,Electrical,129.25
P030,Part_P030,Fasteners,29.65
P031,Part_P031,Interior,118.63
P032,Part_P032,Trim,125.36
P033,Part_P033,Fasteners,48.4
P034,Part_P034,Fasteners,20.53
P035,Part_P035,Fasteners,12.62
P036,Part_P036,Electrical,204.42
P037,Part_P037,Electrical,208.08
P038,Part_P038,Fasteners,39.79
P039,Part_P039,Electrical,287.11
P040,Part_P040,Fasteners,45.28
