month,product_id,actual_units_sold
2020-01-01,P001,2496
2020-01-01,P002,6113
2020-01-01,P003,619
2020-01-01,P004,4999
2020-01-01,P005,1287
2020-01-01,P006,1510
2020-01-01,P007,1479
2020-01-01,P008,1479
2020-01-01,P009,1845
2020-01-01,P010,2689
2020-01-01,P011,7976
2020-01-01,P012,1408
2020-01-01,P013,6508
2020-01-01,P014,1753
2020-01-01,P015,2316
2020-01-01,P016,2333
2020-01-01,P017,2634
2020-01-01,P018,1183
2020-01-01,P019,2902
2020-01-01,P020,5669
2020-01-01,P021,2047
2020-01-01,P022,2000
2020-01-01,P023,854
2020-01-01,P024,1963
2020-01-01,P025,874
2020-01-01,P026,1402
2020-01-01,P027,6444
2020-01-01,P028,3261
2020-01-01,P029,5554
2020-01-01,P030,6829
2020-01-01,P031,1465
2020-01-01,P032,2598
2020-01-01,P033,6089
2020-01-01,P034,4915
2020-01-01,P035,4197
2020-01-01,P036,3607
2020-01-01,P037,1774
2020-01-01,P038,1717
2020-01-01,P039,1604
2020-01-01,P040,7026
2020-02-01,P001,2231
2020-02-01,P002,7301
2020-02-01,P003,800
2020-02-01,P004,7118
2020-02-01,P005,1997
2020-02-01,P006,1230
2020-02-01,P007,1960
2020-02-01,P008,1016
2020-02-01,P009,2350
2020-02-01,P010,2028
2020-02-01,P011,6027
2020-02-01,P012,1336
2020-02-01,P013,6590
2020-02-01,P014,2416
2020-02-01,P015,1681
2020-02-01,P016,2750
2020-02-01,P017,3391
2020-02-01,P018,1556
2020-02-01,P019,3527
2020-02-01,P020,5136
2020-02-01,P021,2558
2020-02-01,P022,2137
2020-02-01,P023,781
2020-02-01,P024,1685
2020-02-01,P025,944
2020-02-01,P026,1681
2020-02-01,P027,4447
2020-02-01,P028,3311
2020-02-01,P029,4875
2020-02-01,P030,10660
2020-02-01,P031,2403
2020-02-01,P032,3091
2020-02-01,P033,4643
2020-02-01,P034,2782
2020-02-01,P035,4131
2020-02-01,P036,4407
2020-02-01,P037,1840
2020-02-01,P038,2028
2020-02-01,P039,1816
2020-02-01,P040,3823
2020-03-01,P001,2428
2020-03-01,P002,6056
2020-03-01,P003,791
2020-03-01,P004,5786
2020-03-01,P005,1648
2020-03-01,P006,917
2020-03-01,P007,1503
2020-03-01,P008,1946
2020-03-01,P009,1916
2020-03-01,P010,2004
2020-03-01,P011,11468
2020-03-01,P012,2396
2020-03-01,P013,5690
2020-03-01,P014,2087
2020-03-01,P015,2573
2020-03-01,P016,3773
2020-03-01,P017,3171
2020-03-01,P018,1663
2020-03-01,P019,3596
2020-03-01,P020,5304
2020-03-01,P021,2148
2020-03-01,P022,2258
2020-03-01,P023,721
2020-03-01,P024,1769
2020-03-01,P025,925
2020-03-01,P026,1786
2020-03-01,P027,5312
2020-03-01,P028,3719
2020-03-01,P029,5825
2020-03-01,P030,7692
2020-03-01,P031,2101
2020-03-01,P032,3798
2020-03-01,P033,5184
2020-03-01,P034,3542
2020-03-01,P035,5241
2020-03-01,P036,4311
2020-03-01,P037,2190
2020-03-01,P038,3284
2020-03-01,P039,2316
2020-03-01,P040,5974
2020-04-01,P001,2138
2020-04-01,P002,9703
2020-04-01,P003,918
2020-04-01,P004,7835
2020-04-01,P005,1172
2020-04-01,P006,1493
2020-04-01,P007,2051
2020-04-01,P008,1290
2020-04-01,P009,2326
2020-04-01,P010,2754
2020-04-01,P011,8635
2020-04-01,P012,1589
2020-04-01,P013,7415
2020-04-01,P014,2168
2020-04-01,P015,2529
2020-04-01,P016,3708
2020-04-01,P017,1959
2020-04-01,P018,1697
2020-04-01,P019,3350
2020-04-01,P020,5266
2020-04-01,P021,2190
2020-04-01,P022,1534
2020-04-01,P023,992
2020-04-01,P024,2391
2020-04-01,P025,769
2020-04-01,P026,2019
2020-04-01,P027,5689
2020-04-01,P028,3455
2020-04-01,P029,4069
2020-04-01,P030,7093
2020-04-01,P031,2411
2020-04-01,P032,4196
2020-04-01,P033,7112
2020-04-01,P034,5211
2020-04-01,P035,5464
2020-04-01,P036,5874
2020-04-01,P037,1749
2020-04-01,P038,2967
2020-04-01,P039,2089
2020-04-01,P040,7279
2020-05-01,P001,2247
2020-05-01,P002,9233
2020-05-01,P003,703
2020-05-01,P004,8132
2020-05-01,P005,1623
2020-05-01,P006,1518
2020-05-01,P007,2096
2020-05-01,P008,1885
2020-05-01,P009,2829
2020-05-01,P010,1764
2020-05-01,P011,8293
2020-05-01,P012,1332
2020-05-01,P013,6676
2020-05-01,P014,2760
2020-05-01,P015,2721
2020-05-01,P016,2521
2020-05-01,P017,3157
2020-05-01,P018,1754
2020-05-01,P019,2581
2020-05-01,P020,4234
2020-05-01,P021,2371
2020-05-01,P022,2863
2020-05-01,P023,1017
2020-05-01,P024,1167
2020-05-01,P025,1004
2020-05-01,P026,1741
2020-05-01,P027,6485
2020-05-01,P028,4436
2020-05-01,P029,3104
2020-05-01,P030,6593
2020-05-01,P031,2173
2020-05-01,P032,2820
2020-05-01,P033,6729
2020-05-01,P034,4454
2020-05-01,P035,5777
2020-05-01,P036,3946
2020-05-01,P037,1828
2020-05-01,P038,3038
2020-05-01,P039,2262
2020-05-01,P040,7397
2020-06-01,P001,2462
2020-06-01,P002,6074
2020-06-01,P003,806
2020-06-01,P004,6493
2020-06-01,P005,1711
2020-06-01,P006,1413
2020-06-01,P007,1539
2020-06-01,P008,1406
2020-06-01,P009,3016
2020-06-01,P010,2086
2020-06-01,P011,6689
2020-06-01,P012,1612
2020-06-01,P013,8292
2020-06-01,P014,2121
2020-06-01,P015,2910
2020-06-01,P016,3170
2020-06-01,P017,4406
2020-06-01,P018,1827
2020-06-01,P019,4190
2020-06-01,P020,4467
2020-06-01,P021,1557
2020-06-01,P022,2926
2020-06-01,P023,818
2020-06-01,P024,1786
2020-06-01,P025,1085
2020-06-01,P026,1165
2020-06-01,P027,4277
2020-06-01,P028,2329
2020-06-01,P029,4031
2020-06-01,P030,7748
2020-06-01,P031,2052
2020-06-01,P032,3754
2020-06-01,P033,3550
2020-06-01,P034,2126
2020-06-01,P035,4757
2020-06-01,P036,3833
2020-06-01,P037,1644
2020-06-01,P038,2719
2020-06-01,P039,2119
2020-06-01,P040,7753
2020-07-01,P001,2280
2020-07-01,P002,7562
2020-07-01,P003,682
2020-07-01,P004,6013
2020-07-01,P005,1543
2020-07-01,P006,1283
2020-07-01,P007,1589
2020-07-01,P008,1430
2020-07-01,P009,2111
2020-07-01,P010,2229
2020-07-01,P011,8693
2020-07-01,P012,990
2020-07-01,P013,4893
2020-07-01,P014,1504
2020-07-01,P015,1142
2020-07-01,P016,2246
2020-07-01,P017,4039
2020-07-01,P018,1467
2020-07-01,P019,2933
2020-07-01,P020,5283
2020-07-01,P021,2390
2020-07-01,P022,2034
2020-07-01,P023,1000
2020-07-01,P024,1659
2020-07-01,P025,754
2020-07-01,P026,1361
2020-07-01,P027,3739
2020-07-01,P028,2561
2020-07-01,P029,4098
2020-07-01,P030,7698
2020-07-01,P031,2209
2020-07-01,P032,2608
2020-07-01,P033,4971
2020-07-01,P034,2914
2020-07-01,P035,4798
2020-07-01,P036,3809
2020-07-01,P037,948
2020-07-01,P038,2633
2020-07-01,P039,1716
2020-07-01,P040,5598
2020-08-01,P001,1739
2020-08-01,P002,5503
2020-08-01,P003,761
2020-08-01,P004,5557
2020-08-01,P005,1462
2020-08-01,P006,1111
2020-08-01,P007,1846
2020-08-01,P008,1175
2020-08-01,P009,1508
2020-08-01,P010,2565
2020-08-01,P011,6447
2020-08-01,P012,1587
2020-08-01,P013,6587
2020-08-01,P014,1787
2020-08-01,P015,2121
2020-08-01,P016,3201
2020-08-01,P017,4604
2020-08-01,P018,1450
2020-08-01,P019,2700
2020-08-01,P020,4882
2020-08-01,P021,1645
2020-08-01,P022,2037
2020-08-01,P023,758
2020-08-01,P024,1590
2020-08-01,P025,698
2020-08-01,P026,1008
2020-08-01,P027,2880
2020-08-01,P028,2255
2020-08-01,P029,3721
2020-08-01,P030,5782
2020-08-01,P031,2095
2020-08-01,P032,3649
2020-08-01,P033,3447
2020-08-01,P034,3645
2020-08-01,P035,3728
2020-08-01,P036,3427
2020-08-01,P037,1353
2020-08-01,P038,2311
2020-08-01,P039,1674
2020-08-01,P040,7039
2020-09-01,P001,1619
2020-09-01,P002,5970
2020-09-01,P003,949
2020-09-01,P004,5682
2020-09-01,P005,1635
2020-09-01,P006,1003
2020-09-01,P007,1586
2020-09-01,P008,1153
2020-09-01,P009,1874
2020-09-01,P010,1680
2020-09-01,P011,7061
2020-09-01,P012,1095
2020-09-01,P013,6528
2020-09-01,P014,2018
2020-09-01,P015,2004
2020-09-01,P016,2116
2020-09-01,P017,3341
2020-09-01,P018,1274
2020-09-01,P019,2850
2020-09-01,P020,2397
2020-09-01,P021,1675
2020-09-01,P022,1083
2020-09-01,P023,545
2020-09-01,P024,1736
2020-09-01,P025,838
2020-09-01,P026,1157
2020-09-01,P027,3241
2020-09-01,P028,1240
2020-09-01,P029,3446
2020-09-01,P030,8583
2020-09-01,P031,1647
2020-09-01,P032,2659
2020-09-01,P033,4393
2020-09-01,P034,2207
2020-09-01,P035,3594
2020-09-01,P036,3463
2020-09-01,P037,1214
2020-09-01,P038,2243
2020-09-01,P039,1783
2020-09-01,P040,6196
2020-10-01,P001,1703
2020-10-01,P002,6878
2020-10-01,P003,827
2020-10-01,P004,4287
2020-10-01,P005,1068
2020-10-01,P006,1174
2020-10-01,P007,1396
2020-10-01,P008,1360
2020-10-01,P009,1740
2020-10-01,P010,2513
2020-10-01,P011,6526
2020-10-01,P012,1291
2020-10-01,P013,7397
