month,product_id,forecast_units
2026-01-01,P001,2246
2026-01-01,P002,1745
2026-01-01,P003,1515
2026-01-01,P004,5536
2026-01-01,P005,3886
2026-01-01,P006,2400
2026-01-01,P007,2369
2026-01-01,P008,1635
2026-01-01,P009,5128
2026-01-01,P010,7033
2026-01-01,P011,2390
2026-01-01,P012,1584
2026-01-01,P013,4633
2026-01-01,P014,1478
2026-01-01,P015,8365
2026-01-01,P016,3924
2026-01-01,P017,3217
2026-01-01,P018,3852
2026-01-01,P019,3403
2026-01-01,P020,1745
2026-01-01,P021,583
2026-01-01,P022,3772
2026-01-01,P023,1150
2026-01-01,P024,773
2026-01-01,P025,1970
2026-01-01,P026,800
2026-01-01,P027,1994
2026-01-01,P028,2923
2026-01-01,P029,4591
2026-01-01,P030,3429
2026-01-01,P031,1660
2026-01-01,P032,1645
2026-01-01,P033,2734
2026-01-01,P034,4347
2026-01-01,P035,7083
2026-01-01,P036,2568
2026-01-01,P037,2551
2026-01-01,P038,1636
2026-01-01,P039,3567
2026-01-01,P040,4493
