month,product_id,ending_inventory_units
2026-01-01,P001,5109
2026-01-01,P002,2520
2026-01-01,P003,2673
2026-01-01,P004,11090
2026-01-01,P005,7104
2026-01-01,P006,2414
2026-01-01,P007,4115
2026-01-01,P008,3827
2026-01-01,P009,6527
2026-01-01,P010,10939
2026-01-01,P011,5401
2026-01-01,P012,2957
2026-01-01,P013,6171
2026-01-01,P014,3080
2026-01-01,P015,18872
2026-01-01,P016,5263
2026-01-01,P017,5521
2026-01-01,P018,9810
2026-01-01,P019,3425
2026-01-01,P020,3724
2026-01-01,P021,1686
2026-01-01,P022,4012
2026-01-01,P023,2500
2026-01-01,P024,174
2026-01-01,P025,2227
2026-01-01,P026,1258
2026-01-01,P027,2853
2026-01-01,P028,6080
2026-01-01,P029,5749
2026-01-01,P030,4199
2026-01-01,P031,1148
2026-01-01,P032,3189
2026-01-01,P033,3779
2026-01-01,P034,5982
2026-01-01,P035,13117
2026-01-01,P036,4628
2026-01-01,P037,3983
2026-01-01,P038,2126
2026-01-01,P039,8845
2026-01-01,P040,10444
