month,product_id,forecast_units
2020-01-01,P001,1985
2020-01-01,P002,5865
2020-01-01,P003,373
2020-01-01,P004,4832
2020-01-01,P005,1344
2020-01-01,P006,1552
2020-01-01,P007,1359
2020-01-01,P008,1459
2020-01-01,P009,1559
2020-01-01,P010,2585
2020-01-01,P011,7749
2020-01-01,P012,1313
2020-01-01,P013,6966
2020-01-01,P014,1789
2020-01-01,P015,2242
2020-01-01,P016,3113
2020-01-01,P017,2622
2020-01-01,P018,1052
2020-01-01,P019,2557
2020-01-01,P020,4858
2020-01-01,P021,2342
2020-01-01,P022,1883
2020-01-01,P023,858
2020-01-01,P024,1785
2020-01-01,P025,659
2020-01-01,P026,822
2020-01-01,P027,5823
2020-01-01,P028,3814
2020-01-01,P029,5482
2020-01-01,P030,8428
2020-01-01,P031,1754
2020-01-01,P032,2821
2020-01-01,P033,7188
2020-01-01,P034,4732
2020-01-01,P035,4222
2020-01-01,P036,3621
2020-01-01,P037,2231
2020-01-01,P038,1685
2020-01-01,P039,1508
2020-01-01,P040,7393
2020-02-01,P001,1983
2020-02-01,P002,7862
2020-02-01,P003,849
2020-02-01,P004,7051
2020-02-01,P005,2203
2020-02-01,P006,1059
2020-02-01,P007,2012
2020-02-01,P008,955
2020-02-01,P009,3046
2020-02-01,P010,1981
2020-02-01,P011,5330
2020-02-01,P012,1161
2020-02-01,P013,8098
2020-02-01,P014,2303
2020-02-01,P015,1511
2020-02-01,P016,2714
2020-02-01,P017,3645
2020-02-01,P018,1654
2020-02-01,P019,3468
2020-02-01,P020,5262
2020-02-01,P021,2667
2020-02-01,P022,2221
2020-02-01,P023,852
2020-02-01,P024,2069
2020-02-01,P025,910
2020-02-01,P026,1324
2020-02-01,P027,4145
2020-02-01,P028,3791
2020-02-01,P029,3456
2020-02-01,P030,8577
2020-02-01,P031,2921
2020-02-01,P032,4093
2020-02-01,P033,4163
2020-02-01,P034,2795
2020-02-01,P035,3807
2020-02-01,P036,4208
2020-02-01,P037,1873
2020-02-01,P038,1419
2020-02-01,P039,1616
2020-02-01,P040,3751
2020-03-01,P001,2355
2020-03-01,P002,4574
2020-03-01,P003,894
2020-03-01,P004,5531
2020-03-01,P005,1523
2020-03-01,P006,961
2020-03-01,P007,1461
2020-03-01,P008,2141
2020-03-01,P009,1584
2020-03-01,P010,1627
2020-03-01,P011,10579
2020-03-01,P012,2540
2020-03-01,P013,4780
2020-03-01,P014,1750
2020-03-01,P015,2590
2020-03-01,P016,3036
2020-03-01,P017,2738
2020-03-01,P018,1872
2020-03-01,P019,2995
2020-03-01,P020,6213
2020-03-01,P021,2141
2020-03-01,P022,2338
2020-03-01,P023,747
2020-03-01,P024,876
2020-03-01,P025,669
2020-03-01,P026,1672
2020-03-01,P027,5192
2020-03-01,P028,2326
2020-03-01,P029,5545
2020-03-01,P030,6840
2020-03-01,P031,2399
2020-03-01,P032,3630
2020-03-01,P033,5587
2020-03-01,P034,4285
2020-03-01,P035,5650
2020-03-01,P036,5071
2020-03-01,P037,1951
2020-03-01,P038,5235
2020-03-01,P039,2033
2020-03-01,P040,5752
2020-04-01,P001,2344
2020-04-01,P002,10861
2020-04-01,P003,987
2020-04-01,P004,8793
2020-04-01,P005,730
2020-04-01,P006,1770
2020-04-01,P007,1964
2020-04-01,P008,1484
2020-04-01,P009,1606
2020-04-01,P010,2719
2020-04-01,P011,7674
2020-04-01,P012,1792
2020-04-01,P013,7993
2020-04-01,P014,2238
2020-04-01,P015,2198
2020-04-01,P016,3417
2020-04-01,P017,1942
2020-04-01,P018,1759
2020-04-01,P019,4045
2020-04-01,P020,5388
2020-04-01,P021,1542
2020-04-01,P022,1561
2020-04-01,P023,1271
2020-04-01,P024,3194
2020-04-01,P025,271
2020-04-01,P026,1972
2020-04-01,P027,5848
2020-04-01,P028,3296
2020-04-01,P029,3641
2020-04-01,P030,7087
2020-04-01,P031,2835
2020-04-01,P032,2876
2020-04-01,P033,7951
2020-04-01,P034,5062
2020-04-01,P035,4502
2020-04-01,P036,7216
2020-04-01,P037,1153
