month,product_id,ending_inventory_units
2020-01-01,P001,3174
2020-01-01,P002,15330
2020-01-01,P003,1205
2020-01-01,P004,3261
2020-01-01,P005,2380
2020-01-01,P006,3496
2020-01-01,P007,2394
2020-01-01,P008,2033
2020-01-01,P009,4135
2020-01-01,P010,5607
2020-01-01,P011,7511
2020-01-01,P012,2398
2020-01-01,P013,14854
2020-01-01,P014,6031
2020-01-01,P015,3248
2020-01-01,P016,4989
2020-01-01,P017,2792
2020-01-01,P018,2150
2020-01-01,P019,1901
2020-01-01,P020,6603
2020-01-01,P021,2173
2020-01-01,P022,4820
2020-01-01,P023,1153
2020-01-01,P024,1706
2020-01-01,P025,1305
2020-01-01,P026,3265
2020-01-01,P027,7722
2020-01-01,P028,5200
2020-01-01,P029,7121
2020-01-01,P030,12129
2020-01-01,P031,3061
2020-01-01,P032,5155
2020-01-01,P033,11151
2020-01-01,P034,7455
2020-01-01,P035,5617
2020-01-01,P036,7704
2020-01-01,P037,2011
2020-01-01,P038,2886
2020-01-01,P039,2198
2020-01-01,P040,4162
2020-02-01,P001,1744
2020-02-01,P002,15655
2020-02-01,P003,1359
2020-02-01,P004,13440
2020-02-01,P005,4217
2020-02-01,P006,4951
2020-02-01,P007,3359
2020-02-01,P008,1655
2020-02-01,P009,4501
2020-02-01,P010,2641
2020-02-01,P011,8778
2020-02-01,P012,3384
2020-02-01,P013,11283
2020-02-01,P014,4714
2020-02-01,P015,3992
2020-02-01,P016,3249
2020-02-01,P017,6775
2020-02-01,P018,2703
2020-02-01,P019,4422
2020-02-01,P020,8261
2020-02-01,P021,4256
2020-02-01,P022,3569
2020-02-01,P023,768
2020-02-01,P024,3224
2020-02-01,P025,1536
2020-02-01,P026,3688
2020-02-01,P027,2125
2020-02-01,P028,6297
2020-02-01,P029,9733
2020-02-01,P030,12022
2020-02-01,P031,3624
2020-02-01,P032,5569
2020-02-01,P033,4990
2020-02-01,P034,2376
2020-02-01,P035,4756
2020-02-01,P036,10215
2020-02-01,P037,1606
2020-02-01,P038,1832
2020-02-01,P039,2493
2020-02-01,P040,3671
2020-03-01,P001,2784
2020-03-01,P002,11807
2020-03-01,P003,1876
2020-03-01,P004,10056
2020-03-01,P005,2954
2020-03-01,P006,1487
2020-03-01,P007,1474
2020-03-01,P008,2670
2020-03-01,P009,2122
2020-03-01,P010,2910
2020-03-01,P011,16139
2020-03-01,P012,2671
2020-03-01,P013,8593
2020-03-01,P014,4984
2020-03-01,P015,4625
2020-03-01,P016,7932
2020-03-01,P017,3238
2020-03-01,P018,4071
2020-03-01,P019,5052
2020-03-01,P020,5292
2020-03-01,P021,5795
2020-03-01,P022,3596
2020-03-01,P023,1365
2020-03-01,P024,2493
2020-03-01,P025,2059
2020-03-01,P026,2719
2020-03-01,P027,7236
2020-03-01,P028,5152
2020-03-01,P029,10055
2020-03-01,P030,4512
2020-03-01,P031,3871
2020-03-01,P032,7954
2020-03-01,P033,7849
2020-03-01,P034,5149
2020-03-01,P035,6956
2020-03-01,P036,9041
2020-03-01,P037,2021
2020-03-01,P038,4702
2020-03-01,P039,3010
2020-03-01,P040,6626
2020-04-01,P001,1903
2020-04-01,P002,30573
2020-04-01,P003,1887
2020-04-01,P004,8214
2020-04-01,P005,2514
2020-04-01,P006,3858
2020-04-01,P007,2817
2020-04-01,P008,1912
2020-04-01,P009,5548
2020-04-01,P010,2962
2020-04-01,P011,16929
2020-04-01,P012,1606
2020-04-01,P013,13007
2020-04-01,P014,2635
2020-04-01,P015,5672
2020-04-01,P016,7320
2020-04-01,P017,2210
2020-04-01,P018,3333
2020-04-01,P019,5260
2020-04-01,P020,9610
2020-04-01,P021,3335
2020-04-01,P022,1899
2020-04-01,P023,1144
2020-04-01,P024,3783
2020-04-01,P025,1420
2020-04-01,P026,3340
2020-04-01,P027,4929
2020-04-01,P028,7149
2020-04-01,P029,4079
2020-04-01,P030,10894
2020-04-01,P031,4290
2020-04-01,P032,7192
2020-04-01,P033,11748
2020-04-01,P034,9375
2020-04-01,P035,5935
2020-04-01,P036,12440
2020-04-01,P037,2864
2020-04-01,P038,995
2020-04-01,P039,3647
2020-04-01,P040,11977
2020-05-01,P001,3409
2020-05-01,P002,20160
2020-05-01,P003,1367
2020-05-01,P004,15092
2020-05-01,P005,2657
2020-05-01,P006,2723
2020-05-01,P007,3062
2020-05-01,P008,3384
2020-05-01,P009,6246
2020-05-01,P010,3186
2020-05-01,P011,17999
2020-05-01,P012,1501
2020-05-01,P013,11202
2020-05-01,P014,5292
2020-05-01,P015,4721
2020-05-01,P016,3811
2020-05-01,P017,5028
2020-05-01,P018,3660
2020-05-01,P019,3648
2020-05-01,P020,3756
2020-05-01,P021,3872
2020-05-01,P022,8660
2020-05-01,P023,1108
2020-05-01,P024,1450
2020-05-01,P025,1275
2020-05-01,P026,1245
2020-05-01,P027,12739
2020-05-01,P028,5861
2020-05-01,P029,3927
2020-05-01,P030,9319
2020-05-01,P031,3732
2020-05-01,P032,7190
2020-05-01,P033,13408
2020-05-01,P034,2643
2020-05-01,P035,11227
2020-05-01,P036,10530
2020-05-01,P037,2060
2020-05-01,P038,6003
2020-05-01,P039,3661
2020-05-01,P040,11213
2020-06-01,P001,2646
2020-06-01,P002,20654
2020-06-01,P003,997
2020-06-01,P004,12889
2020-06-01,P005,2749
2020-06-01,P006,3071
2020-06-01,P007,2457
2020-06-01,P008,3527
2020-06-01,P009,6877
2020-06-01,P010,1243
2020-06-01,P011,9723
2020-06-01,P012,2721
2020-06-01,P013,18429
2020-06-01,P014,3492
2020-06-01,P015,4629
2020-06-01,P016,4478
2020-06-01,P017,6272
2020-06-01,P018,3706
2020-06-01,P019,6824
2020-06-01,P020,5877
2020-06-01,P021,2772
2020-06-01,P022,4615
2020-06-01,P023,1705
2020-06-01,P024,1810
2020-06-01,P025,1709
2020-06-01,P026,1684
2020-06-01,P027,5077
2020-06-01,P028,4653
2020-06-01,P029,3954
2020-06-01,P030,9957
2020-06-01,P031,4071
2020-06-01,P032,6869
2020-06-01,P033,5671
2020-06-01,P034,2823
2020-06-01,P035,6552
2020-06-01,P036,9951
2020-06-01,P037,676
2020-06-01,P038,4327
2020-06-01,P039,2867
2020-06-01,P040,9494
2020-07-01,P001,2663
2020-07-01,P002,18812
2020-07-01,P003,888
2020-07-01,P004,14435
2020-07-01,P005,3421
2020-07-01,P006,3014
2020-07-01,P007,1867
2020-07-01,P008,2865
2020-07-01,P009,7222
2020-07-01,P010,2783
2020-07-01,P011,10126
2020-07-01,P012,1374
2020-07-01,P013,13157
2020-07-01,P014,1943
2020-07-01,P015,2264
2020-07-01,P016,5867
2020-07-01,P017,1770
2020-07-01,P018,3307
2020-07-01,P019,4874
2020-07-01,P020,9327
2020-07-01,P021,4664
2020-07-01,P022,3784
2020-07-01,P023,1617
2020-07-01,P024,1125
2020-07-01,P025,881
2020-07-01,P026,1730
2020-07-01,P027,2760
2020-07-01,P028,3968
2020-07-01,P029,5300
2020-07-01,P030,13856
2020-07-01,P031,4233
2020-07-01,P032,7645
2020-07-01,P033,6820
2020-07-01,P034,3714
2020-07-01,P035,5269
2020-07-01,P036,7247
2020-07-01,P037,844
2020-07-01,P038,3288
2020-07-01,P039,4667
2020-07-01,P040,6095
2020-08-01,P001,2101
2020-08-01,P002,9137
2020-08-01,P003,1751
2020-08-01,P004,12708
2020-08-01,P005,2890
2020-08-01,P006,2840
2020-08-01,P007,2271
2020-08-01,P008,3360
2020-08-01,P009,3424
2020-08-01,P010,7416
2020-08-01,P011,12579
2020-08-01,P012,5108
2020-08-01,P013,12534
2020-08-01,P014,2667
2020-08-01,P015,2405
2020-08-01,P016,6584
2020-08-01,P017,7944
2020-08-01,P018,2488
2020-08-01,P019,3361
2020-08-01,P020,4848
2020-08-01,P021,4964
2020-08-01,P022,3795
2020-08-01,P023,1587
2020-08-01,P024,1758
2020-08-01,P025,1587
2020-08-01,P026,1387
2020-08-01,P027,2501
2020-08-01,P028,5234
2020-08-01,P029,7005
2020-08-01,P030,9208
2020-08-01,P031,6645
2020-08-01,P032,6650
2020-08-01,P033,4647
2020-08-01,P034,3420
2020-08-01,P035,3169
2020-08-01,P036,5181
2020-08-01,P037,1237
2020-08-01,P038,2204
2020-08-01,P039,2864
2020-08-01,P040,9218
2020-09-01,P001,3045
2020-09-01,P002,13024
2020-09-01,P003,2073
2020-09-01,P004,7653
2020-09-01,P005,4340
2020-09-01,P006,1379
2020-09-01,P007,1624
2020-09-01,P008,1192
2020-09-01,P009,4636
2020-09-01,P010,2250
2020-09-01,P011,6311
2020-09-01,P012,828
2020-09-01,P013,14833
2020-09-01,P014,3304
2020-09-01,P015,7811
2020-09-01,P016,3912
2020-09-01,P017,1656
2020-09-01,P018,2308
2020-09-01,P019,2922
2020-09-01,P020,1865
2020-09-01,P021,4247
2020-09-01,P022,1867
2020-09-01,P023,1052
2020-09-01,P024,2437
2020-09-01,P025,1536
2020-09-01,P026,2197
2020-09-01,P027,2617
2020-09-01,P028,1945
2020-09-01,P029,3457
2020-09-01,P030,7710
2020-09-01,P031,2889
2020-09-01,P032,3692
2020-09-01,P033,7618
2020-09-01,P034,2825
