month,product_id,actual_units_sold
2026-01-01,P001,2210
2026-01-01,P002,1800
2026-01-01,P003,1382
2026-01-01,P004,5269
2026-01-01,P005,4132
2026-01-01,P006,1954
2026-01-01,P007,2401
2026-01-01,P008,1805
2026-01-01,P009,3989
2026-01-01,P010,7832
2026-01-01,P011,2910
2026-01-01,P012,1780
2026-01-01,P013,3592
2026-01-01,P014,1264
2026-01-01,P015,7821
2026-01-01,P016,3919
2026-01-01,P017,3712
2026-01-01,P018,4306
2026-01-01,P019,2883
2026-01-01,P020,1895
2026-01-01,P021,787
2026-01-01,P022,3255
2026-01-01,P023,1214
2026-01-01,P024,845
2026-01-01,P025,1984
2026-01-01,P026,922
2026-01-01,P027,1379
2026-01-01,P028,3280
2026-01-01,P029,4593
2026-01-01,P030,3174
2026-01-01,P031,1818
2026-01-01,P032,2146
2026-01-01,P033,2688
2026-01-01,P034,3734
2026-01-01,P035,6493
2026-01-01,P036,2925
2026-01-01,P037,2401
2026-01-01,P038,1452
2026-01-01,P039,3166
2026-01-01,P040,4817
